job_id,title,department_id,location,required_experience_years,offered_salary_min,offered_salary_max,status,created_at,description
6,Laboratory Technician,24,Head Office,10,41500.0,65000.0,OPEN,2026-08-10 00:00:00,"Nexus is hiring a Laboratory Technician for its Research & Development department (Laboratory Technicians - Team 11). You will join an experienced team and contribute from day one.

Profile:
- About 10 years of relevant experience
- Key skills: Laboratory techniques, sample preparation, lab equipment operation and calibration, quality control, GLP, safety procedures, documentation, data recording
- Clear communication and a collaborative attitude"
20,Research Scientist,63,Head Office,12,51000.0,66000.0,OPEN,2026-08-11 00:00:00,"Nexus is hiring a Research Scientist for its Research & Development department (Research Scientists - Team 14). You will join an experienced team and contribute from day one.

Profile:
- About 12 years of relevant experience
- Key skills: Experimental design, laboratory research, data analysis, statistics, scientific writing, literature review, Python or R, regulatory standards (GLP)
- Clear communication and a collaborative attitude"
39,Junior Sales Representative,97,Head Office,3,27500.0,34500.0,OPEN,2026-08-17 00:00:00,"Nexus is hiring a Junior Sales Representative for its Sales department (Sales Representatives - Team 5). You will join an experienced team and contribute from day one.

Profile:
- About 3 years of relevant experience
- Key skills: Prospecting, customer service, product demonstrations, CRM, cold calling, negotiation, order processing, communication
- Clear communication and a collaborative attitude"
5,Junior Laboratory Technician,19,Head Office,6,28000.0,42000.0,OPEN,2026-08-21 00:00:00,"Nexus is hiring a Junior Laboratory Technician for its Research & Development department (Laboratory Technicians - Team 6). You will join an experienced team and contribute from day one.

Profile:
- About 6 years of relevant experience
- Key skills: Laboratory techniques, sample preparation, lab equipment operation and calibration, quality control, GLP, safety procedures, documentation, data recording
- Clear communication and a collaborative attitude"
1,Senior Healthcare Representative,12,Head Office,17,100500.0,126500.0,OPEN,2026-08-25 00:00:00,"Nexus is hiring a Senior Healthcare Representative for its Research & Development department (Healthcare Representatives - Team 8). You will join an experienced team and contribute from day one.

Profile:
- About 17 years of relevant experience
- Key skills: Healthcare / pharmaceutical sales, product knowledge, relationship building with physicians, territory management, CRM, negotiation, medical terminology, presentations
- Clear communication and a collaborative attitude"
37,Junior Sales Representative,94,Head Office,3,27500.0,34500.0,OPEN,2026-08-26 00:00:00,"Nexus is hiring a Junior Sales Representative for its Sales department (Sales Representatives - Team 2). You will join an experienced team and contribute from day one.

Profile:
- About 3 years of relevant experience
- Key skills: Prospecting, customer service, product demonstrations, CRM, cold calling, negotiation, order processing, communication
- Clear communication and a collaborative attitude"
10,Senior Laboratory Technician,21,Head Office,26,69000.0,82500.0,OPEN,2026-08-28 00:00:00,"Nexus is hiring a Senior Laboratory Technician for its Research & Development department (Laboratory Technicians - Team 8). You will join an experienced team and contribute from day one.

Profile:
- About 26 years of relevant experience
- Key skills: Laboratory techniques, sample preparation, lab equipment operation and calibration, quality control, GLP, safety procedures, documentation, data recording
- Clear communication and a collaborative attitude"
33,Sales Executive,80,Head Office,9,56500.0,78000.0,OPEN,2026-08-30 00:00:00,"Nexus is hiring a Sales Executive for its Sales department (Sales Executives - Team 10). You will join an experienced team and contribute from day one.

Profile:
- About 9 years of relevant experience
- Key skills: B2B sales, account management, negotiation, pipeline management, CRM (Salesforce), presentations, market analysis, customer relationship
- Clear communication and a collaborative attitude"
7,Senior Laboratory Technician,15,Head Office,26,69000.0,82500.0,OPEN,2026-09-05 00:00:00,"Nexus is hiring a Senior Laboratory Technician for its Research & Development department (Laboratory Technicians - Team 2). You will join an experienced team and contribute from day one.

Profile:
- About 26 years of relevant experience
- Key skills: Laboratory techniques, sample preparation, lab equipment operation and calibration, quality control, GLP, safety procedures, documentation, data recording
- Clear communication and a collaborative attitude"
34,Senior Sales Executive,73,Head Office,12,95000.0,123500.0,OPEN,2026-09-17 00:00:00,"Nexus is hiring a Senior Sales Executive for its Sales department (Sales Executives - Team 3). You will join an experienced team and contribute from day one.

Profile:
- About 12 years of relevant experience
- Key skills: B2B sales, account management, negotiation, pipeline management, CRM (Salesforce), presentations, market analysis, customer relationship
- Clear communication and a collaborative attitude"
